GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-core,oshi,SystemInfo,94,51,21,5,27,17,17,5,0,5
oshi-core,oshi,PlatformEnum,0,64,0,0,0,7,0,1,0,1
oshi-core,oshi.software.os,OSProcess,30,207,1,1,5,80,2,46,1,46
oshi-core,oshi.software.os,OSUser,17,0,0,0,7,0,5,0,5,0
oshi-core,oshi.software.os,OSFileStore,74,82,0,0,20,35,5,21,5,21
oshi-core,oshi.software.os,OperatingSystem.ProcessSort,74,0,0,0,2,0,1,0,1,0
oshi-core,oshi.software.os,OSProcess.State,0,74,0,0,0,8,0,1,0,1
oshi-core,oshi.util,EdidUtil,32,521,7,16,2,63,6,25,0,17
oshi-core,oshi.util,FileUtil,57,168,13,25,14,44,12,15,0,8
oshi-core,oshi.util,Constants,6,0,0,0,2,0,1,0,1,0
oshi-core,oshi.util,ParseUtil,31,937,7,81,5,182,8,68,1,31
oshi-core,oshi.util,LsofUtil,65,0,9,0,13,0,6,0,1,0
oshi-core,oshi.util,Util,9,41,1,5,3,8,1,5,0,3
oshi-core,oshi.util,ExecutingCommand,21,81,1,5,6,21,1,7,0,5
oshi-core,oshi.util,FormatUtil,0,377,0,36,0,57,0,30,0,12
oshi-core,oshi.hardware,HWDiskStore,189,262,22,24,36,80,20,36,2,29
oshi-core,oshi.hardware,HWPartition,35,304,20,42,10,77,15,37,0,21
oshi-core,oshi.hardware,NetworkIF,23,224,7,9,12,58,7,30,0,27
oshi-core,oshi.hardware,CentralProcessor.TickType,0,103,0,0,0,13,0,3,0,3
oshi-core,oshi.hardware,CentralProcessor.LogicalProcessor,25,24,0,0,7,9,5,3,5,3
